14	7	E	-4323147.286966812	200
emissionprobs	13	2	RNAPII_8WG16	1	0.1097570121659186
emissionprobs	13	3	RNAPII_S2P	0	0.6786545064797875
emissionprobs	13	3	RNAPII_S2P	1	0.32134549352021236
emissionprobs	13	4	RNAPII_S5P	0	0.7541569483959124
emissionprobs	13	4	RNAPII_S5P	1	0.24584305160408756
emissionprobs	13	5	RNAPII_S7P	0	0.8294929720848776
emissionprobs	13	5	RNAPII_S7P	1	0.17050702791512243
emissionprobs	13	6	SUZ12	0	0.8400546888820699
emissionprobs	13	6	SUZ12	1	0.15994531111793003
emissionprobs	14	0	H2Aub1	0	0.9987775781513833
emissionprobs	14	0	H2Aub1	1	0.001222421848616586
emissionprobs	14	1	RING1B	0	0.9739930487805637
emissionprobs	14	1	RING1B	1	0.026006951219436292
emissionprobs	14	2	RNAPII_8WG16	0	0.981627040912917
emissionprobs	14	2	RNAPII_8WG16	1	0.01837295908708316
emissionprobs	14	3	RNAPII_S2P	0	0.9717207706637719
emissionprobs	14	3	RNAPII_S2P	1	0.028279229336227927
emissionprobs	14	4	RNAPII_S5P	0	0.9883219975586116
emissionprobs	14	4	RNAPII_S5P	1	0.011678002441388412
emissionprobs	14	5	RNAPII_S7P	0	0.9769817308827494
emissionprobs	14	5	RNAPII_S7P	1	0.023018269117250596
emissionprobs	14	6	SUZ12	0	0.9765405930946272
emissionprobs	14	6	SUZ12	1	0.023459406905372907
